text,category
"PC Blue Screened. Dear Mr. / Mrs. When starting my pc it crached and now stuck with a bluescreen. Thank you in advance for your help!  Best regards, Terry Backerman",software issue
"Mobile app crashes when opening camera. Hi Mobile Team, opening the camera inside the app causes an immediate crash on Android 12 devices. Error occurs when tapping “Scan Document.” Repro: open app → tap Scan → app closes. Logs show a camera permission exception on some devices though permissions are granted. Need a fix or safer permission check.",software issue
"Glitch in the accounting software causing incorrect expense reports.. The accounting software is showing incorrect figures in my department's expense reports, which makes budgeting difficult. Please look into it and fix the issue.",software issue
New printer required. The old printer broke down and we need a new one. What specifications does a printer for the entire office require?,purchase requisition
strange USB sticks. I've noticed some USB sticks laying around on floor 12. Should i plug them in to see what they contain ?,privacy issue
Sticky Keyboard. IT team can you come and replace my keyboard i have spilled soda on it and now it is very sticky my fingers are sticking to the keyboard just typing this message,purchase requisition
What data is stored from the employees. The employees want to know what data stored from them. Find out and give a presentation.,privacy issue
"Request for updated design software license. The current license for my design application appears to have expired, preventing file export and collaboration. Kindly initiate the renewal process or assign an active license.",software issue
"Question about new model of tracking. Dear IT department, today when i opened my laptop, I find a new software was installed and after looking up a bit, I discover that this is a tracking system that is used to check what we do during our work hours. We did not receive any email regarding that and we would like to have a meeting to discuss these actions.",privacy issue
"Software Crash. I am experiencing an issue with our project management software, which frequently crashes when I try to open it.I have already tried restarting my computer and reinstalling the software, but the issue persists. Could you please look into this and provide a solution?",software issue
Phone Request. john here i need a new phone my old nokia 3310 is getting too old can i get a windows phone instead,purchase requisition
strange person at reception . Hey i wish to report that we have a strange person in a hoodie walking around on the front parking at the main entrance. Can the security team be noticed,privacy issue
"App suddenly closes. Hello I am getting this weird error 'NullPointerException' I am a normal salesperson and know nothing about IT. After some trial and error I have figured out if I rotate my phone the app crashes. Message appears, please help me thank you. ",software issue
Data Breach. dear it team i got a mail from sara of hr team she said she was sick and working from home and asked me to put all the names emails and telephone numbers and other info of all our customers in a text file and then send that file to her via email so i did that small problem turns out there is no sara in the hr team so i dont know who it is that sent the email well sorry about that just wanted to give a heads up about the data breach ps please dont tell my boss about this thanks,privacy issue
"Unable to log into the company email system after recent update.. After the recent system update, I can no longer log into my company email. I’ve tried resetting my password, but it still doesn’t work.",software issue
Privacy Impact Assessment. Conduct a Privacy Impact Assessment (PIA) for a new project to identify and mitigate privacy risks.,privacy issue
Vendor Data Handling Assessment. Assess how our vendors handle our data and ensure they meet our privacy and security standards.,privacy issue
Request for Monitor Upgrade. The design team needs upgraded monitors with higher resolution. Please provide options and costs.,purchase requisition
Shared document permissions appear overly broad. A number of shared documents within our department are accessible to employees outside the intended workgroup.,privacy issue
Laptop Procurement. We need to purchase ten new laptops for the finance department. Please provide quotes and specifications for laptops that meet our department's requirements.,purchase requisition
Identity theft is not a joke. Somehow my account credentials have been leaking leading to someone getting hold of my personal information. My banking agency has already called me about someone ordering a small car load of balloons. After that someone tried to take a loan to set up a circus tent in the park. I've already blocked all accounts related to money but as it is I'm still looking like a clown due to all these things happening. More so with this makeup and rainbow wig I'm wearing right now.,privacy issue
"Cannot access mail.. I have been having trouble with accessing my mail, when I try to login it keeps giving an error.",software issue
"Installation for MacOS. Hey there, I was trying to install the software using my laptopt M1, but I can't find the section about apple. Can you give me the link/download or help me installing it.",software issue
"Extra cables for redundancy. For redundancy, we need to buy an extra ethernet cable per dedicated server.",purchase requisition
Anti-virus alerst. My Anti-virus keeps saying that i have 1200 virusses. Have I been hacked ? ,privacy issue
"Common bug. Many of our users have contacted us, regarding a bug where they are forcefully logged out and are unable log back in. They also complain they can't write any forum posts for help as it requires you to be logged in. Investigate and try to fix the issues.",software issue
The toilet door is transparent.. I don't know why. But who decided that it would be a good idea to have a transparent toilet door.,privacy issue
"I’m Concerned About a Privacy Breach. I’ve noticed some unusual activity on my account, and I’m concerned that my personal data might have been compromised. Can someone look into this and ensure my data is secure?",privacy issue
Broken mouse. Tiffany recently accidently broke her mouse and we need another. Could you send what model mouse is best.,purchase requisition
Employee Data Privacy Concern. An employee has raised concerns about the privacy of their personal data. Please initiate a review of our privacy policies and address any issues or gaps identified.,privacy issue
"The printer doesnt work anymore. . When I try to print from my computer, i get the message, that the printing process failed. ",software issue
"Request for New Laptops. Due to the increase in ""Work from home"" the development team requests company issued Laptop ,About 10 to be exact, to work from home.",purchase requisition
Email Data Leakage Incident. An employee has mistakenly shared sensitive company information via email.  Review email security protocols and provide additional training to prevent such incidents.,privacy issue
"Buying new company T-shirts. I wish to buy the new available T-shirt from our company as soon as possible , Thx.",purchase requisition
new poster order for open campus. It's the Marketing team again can we add 20 new poster orders to our previous order we require these for the open campus day at the ERM. Thx  ,purchase requisition
Fonza VOIP System Error. Some users experiencing version incompatibility with our VOIP application Forza. Please fix the issues for the users and make sure that they can use the app.,software issue
"Replacement of malfunctioning input device. My current keyboard intermittently fails to register keystrokes, significantly slowing down report preparation. I would appreciate a replacement when feasible.",software issue
IT Training Request. Requesting training sessions for our team to enhance their IT skills. Provide course details and pricing.,purchase requisition
"Changes to privacy law. Due to a recent change in the laws regarding privacy and consumer data protection in the EU. Our data handling practices may need changing, so make the required changes and write a detailed report. Attached is a brief summary of the changes in law. For any additional information contact our law firm.",privacy issue
To many places in the building with cameras. I feel like we're constantly being watched with all these camera's around in the building i want to file this issue as debate subject in the next meeting,privacy issue
"password. well hello dear IT team it has come to my attention that i forgot my password again can you please fix this and give me a new password also can you lift the password restrictions i like my new password to be ""root"" that seems easy to remember",software issue
Request for New Monitors. We need to purchase 10 new high-resolution monitors for the design team. Please provide quotes and specifications for monitors that meet their requirements.,purchase requisition
"Employee-Client E-mail confidentiality. When writing mass E-mails to clients, add all clients to BCC so that clients don't see each other's data.",privacy issue
"Request to purchase additional office supplies for the marketing department.. Our team is running low on basic office supplies, including pens, paper, and printer cartridges. Please approve the purchase of these items as soon as possible.",purchase requisition
Access Control Review. Conduct a review of user access permissions to ensure data privacy compliance. Identify and rectify any unauthorized access.,privacy issue
login. can you reset my pasword ? my users name is dumy123 kind thanks in advantd dumy,software issue
Local Language Selection. We need to be able to select the language within this app instead of it only being able to use our device language.,software issue
"In RGB mode stuck, lightsaber has become. Hmm... a problem, there is. After installing the latest security update, broken my lightsaber has become. No longer stable, its blade is. RGB mode, it now displays—red, blue, green—flashing endlessly, it is. Balance, there is not. A disco, it seems to have become. Use in battle, impossible it now is.  A Jedi's tool, a toy it should not be. Fix it, you must.",software issue
Slow database query. Some standard database queries take longer than an hour to complete. get this query time down to less than a minute.,software issue
UPS Replacement. Our uninterruptible power supply (UPS) unit is failing. We need a new one to protect our servers.,purchase requisition
Printer Malfunction. Users are reporting difficulties logging into the CRM system. Please investigate and restore access.,software issue
PDF formattting issue. Adobe illustrator messes up my document's formatting when converting to a PDF,software issue
Windows xp. Its 2025 why is this comany still using windows xp? ,software issue
"It does not work. I am trying to login to the software but I cannot, it says invalid credentials. Please fix it asap since i have to submit important documents today!",software issue
"Dark mode broken. Your application is very unprofessional I can't seem to get the dark mode to work, also when I close it all my settings dissapear!! Should not be on the playstore total scam do not trust this company. Fix this.",software issue
New monitors. employees on floor 8 really require new desktop monitors,purchase requisition
"Problem regarding software activation. Dear, I write this ticket to inform that after install your software on my desktop pc, when I try to login using the credentials you gave me via email, an error is shown saying that they are not valid; however I am sure since I copy-pasted those credentials. I hope you can help me resolve this problem. Best Regards, Lorenzo Ferrari.",software issue
Usb parking lot . well i found a usb stick in the parking lot and plugged it in my pc now i cant log in on my pc typing this ticket on my phone ps nobody can log in you will probably get a lot more tickets about this,privacy issue
Suspected Data breach. There has been unusual activity from my business email account which should get investigated due to privacy concerns ,privacy issue
The toilets are not very secure. I've been at the company for at least 2 years now and the toilets still have major issues regarding employees safety and security. What if someone decides to do us (employees) any harm ? There are NO camera's that would notice that. Totally outragous !,privacy issue
Laptop Won't Boot. Data is missing from the database. Perform a data recovery and investigate the cause of the data loss.,software issue
Slow Network Connection. The license key for our antivirus software is expiring soon. Please renew it to ensure system security.,software issue
"Request for upgraded display equipment. Due to ongoing visual strain while working on design-related tasks, I would like to request a higher-resolution monitor compatible with my current workstation.",purchase requisition
"Incorrect error message shown on permission denied. Hi Support, when a user without access tries to view a resource, the app shows “Resource not found” instead of “Permission denied.” This misleads users. Please return 403 with a clear message so users understand it’s a permissions issue.",software issue
Button disabled with no explanation. The “Submit Request” button remains disabled on the form even when all required fields are filled. No validation messages appear. Users assume bug. Repro: fill form completely and button is gray. Need client-side validation messages or enable the button.,software issue
Server room Air Conditioning. The Server room is getting too hot. We need to buy an extra air conditioning unit.,purchase requisition
Printer scan . How do i scan a docment to my pc ? ,software issue
"Password leaked. I believe my email account has been hacked can this be fixed as soon as possible , thank you.",privacy issue
Im working. well im bored so im making a ticket so i look busy.,privacy issue
GDPR Compliance Audit. We require a comprehensive audit to ensure compliance with the General Data Protection Regulation (GDPR).,privacy issue
Use of my face on company's website.. I know that I am handsome but please I have not given my permission for my face to be displayed on the company's public platform. Please take it down asap and I would like to file for renumeration of 28568 dollars and 50 cents for misuse of my image. Thank you.,privacy issue
Banner deal. We have partnered with NYC's Times Square billboards: Four of them will be broadcasting our brand for an interval of 30 seconds each four times a day. The budget and payment method for how long we keep doing this is still yet to be decided. Work on it and give me a cipher back. ,purchase requisition
"New Gantt chart software. I believe that the software we bought last year is outdated and doesn't fit our needs. I hereby  wish to request the new Gantt chart software ""EC_Gantt"".  ",purchase requisition
"Model deployment pipeline fails at Docker build. The continuous deployment job deploy-llm-service failed repeatedly during the Docker build step on Jenkins agent build-12. The failure message indicates ModuleNotFoundError: No module named 'torch' when python -c ""import torch"" is executed inside the image. The Dockerfile uses python:3.10-slim as base and installs requirements from requirements.txt. My suspicion: the base image lacks the correct wheel infrastructure or we are pinning incompatible CUDA/PyTorch versions. The build log snippet:",software issue
Employee Data Access Request. An employee has requested access to their personal data stored in our systems. Please provide them with the requested information in compliance with data ,privacy issue
"Broken pc. Hey, last Thursday my pc fell to the floor and I wanted to know the procedure to require a new one. Sorry for the inconvenience and thanks in advance.",purchase requisition
Slow software. After the new update i noticed the software being sllower than usual. Is it because our laptops are not compatible anymore or are there issues with the new update?,software issue
Unauthorized Access to Data. It appears that certain employees still have access to customer information which they shoouldn't have access to. Please update new employee security access to prevent this and other similiar issues,privacy issue
"The russians did it again. People who sign up for our services with their email have reported that their mails get flooded with fraudulent mails, leading us to believe there is some form of data breach going on.",privacy issue
"Email Client Crashing. Our email client is frequently crashing on startup, Investigate and resolve the email client crash issue.",software issue
"Software Update Needed. I need to request a purchase for the latest version of Spyder. My current version is outdated, and I am unable to log in until it is updated. Please let me know the next steps to proceed with this request.",purchase requisition
"Missing files after the latest software update. After the most recent software update, several important files seem to be missing from my shared drive. Requesting a recovery of the missing documents.",software issue
Application Error. Our accounting software keeps crashing. Investigate and resolve the issue as it's affecting our daily operations.,software issue
"Software crashes during login. Hey there. When I open the software to do my job, it has been crashing once I put my credentials. It says something like ""unable to connect to database"", what does that mean? Can you fix it please?.",software issue
Approval request for new software license for the design team.. The design team needs a new Adobe Creative Cloud license to complete our ongoing project. Requesting approval for the purchase.,purchase requisition
Monitor Display Issue. Our email client is not syncing properly with our mail server. Resolve the synchronization problem.,software issue
"Problem with the new face detection. Dear IT Department. I've heard from colleague that you have started using cameras for face detection, however we don't remember signing any contract about that. Also why would you need one? WE are looking for more explanations about this topic. Best Regards, Lorenzo Ferrari.",privacy issue
Data Breach Report. We suspect a data breach incident. Please investigate and take immediate action to secure sensitive information.,privacy issue
Java update required. A Java update is required on all the Windows computers. Make a Java update script and run it on all the computers at once.,software issue
"Potential Unauthorized Access to Confidential Files. I have reason to believe that sensitive company data may have been accessed by an unauthorized individual within the organization. I noticed irregular activity in shared folders containing confidential files that should only be accessible by the Finance and HR teams. With kind regards, Jane Doe",privacy issue
"HR issues - 57585. we noticed that employee's salary can be viewed and displayed by any other employee, without any security check.",privacy issue
ticketing system. how do i submit a ticket to the it team?,software issue
Network Cable Installation. We require the installation of network cables in the new office area. Please estimate the length and cost.,purchase requisition
"Authentication not recognized. When attempting to access the company dashboard, my credentials are repeatedly declined despite multiple verifications. Could you please verify if there have been recent changes in authentication policy or user registration?",software issue
"Login . What's my username and password? It's my first day here. Employee ID: 0012B5842. Best regards, Xandress.",software issue
Headset broken. My headset broke down whiile talking to a customer. The microphone doesnt recognize my voice anymore. ,purchase requisition
"code issue. My code does not want to compile no matter what i try, can i get a senior to help me?",software issue
"Password Leak. My password has been leaked, as i've noticed unusal activity and unauthorized login attempts. I've changed my password and enabled two-factor authentication. Please investigate and help ensure my account's security.",privacy issue
"License Expiration Error. Dear IT Team,  I am receiving a license expiration error in Adobe Photoshop, which is affecting my ability to use the software. The error message states that the license expired on October 5, 2024, but to my knowledge, the license was supposed to be valid until December 31, 2024.  Could you please verify the status of the license and assist in renewing or resolving this issue so I can continue working without interruptions?  Kind regards, Nelli Sahiian",software issue
"Unintended visibility of employee information. While reviewing data on our internal HR portal, I noticed that information related to other employees appears under my account view.",privacy issue
New Laptops Needed. We need to purchase five new laptops for the marketing team. Please provide quotes and specifications.,purchase requisition
Office Software Licenses. Request to purchase additional licenses for the Microsoft Office suite to accommodate new hires. Provide cost estimates and procurement details.,purchase requisition
Beamer Issue. hello bob its me again tomy can you come to the conference room and check out the beamer it stopped working again i dont know how all i know is that it was repasted 3 times already this month and that every time i want to give my presentation it breaks thanks,software issue
Slow File-Sharing Server. The company's file-sharing server is experiencing slow performance.  Diagnose and optimize the performance of the file-sharing server.,software issue
"[URGENT] riots on the workfloor. Need a new coffee machine, the old one has failed the test of time",purchase requisition
Privacy Policy Update. Our privacy policy needs to be updated to reflect recent changes in data privacy regulations. Please make necessary revisions.,privacy issue
"Training dataset contains unsanitized personal contact details. While performing a routine audit of customer_feedback_training_v4.csv I discovered multiple rows that still contain personally identifying information: full names, personal email addresses and several phone numbers in the contact_info column. The file was supposedly anonymized before ingestion into our feature store, but these rows appear to be original raw records that slipped through. I sampled 250 rows and found ~12 rows with obvious PII. This is a potential compliance risk if that dataset was used for any offline model training or shared across teams. Could someone (a) confirm whether a sanitized copy exists, (b) temporarily remove the public share link, and (c) advise whether we should trigger a re-training notification for models that used this dataset between Aug 10–Sep 02?",privacy issue
Phising emails. I have received several suspicious emails that appear to be phishing attempts. Block these email domains,privacy issue
"Application performance degradation post-update. Following the most recent update, the financial management software has experienced severe performance drops, including prolonged loading times and unresponsive menus.",software issue
Printer Replacement. Our office printer is malfunctioning. We require a new one. Please advise on suitable models and pricing.,purchase requisition
"Request for Cloud Storage Subscription to Facilitate AI Model Training. Dear IT Team,  I would like to request the purchase of a cloud storage subscription to support our AI model development and data processing needs. As we are working with large datasets for training and testing machine learning algorithms, our current storage capacity is insufficient for efficient project handling. Additionally, cloud storage will enhance our ability to back up trained models and experiment results, ensuring the data is safe and recoverable if needed.  Please advise on the available options and how to proceed with the requisition.  Kind regards, Nelli Sahiian",purchase requisition
"Non-Disclosure Agreement. NDA signed with a hacker who breached our systems to discuss financial gain in exchange for keeping vulnerability closed-doors, prioritizing security and ethical engagement. Make a market analysis and some research on previous cases whom had this happened to them as well and come back to me ASAP. ",purchase requisition
Company Card for Lunch. can i use the company card for my lunch?,purchase requisition
"New high-performance dev workstation to run local experiments. My current development laptop cannot handle practical on-device training or local model builds. Request approval to procure a new developer workstation configured with: AMD Ryzen Threadripper (or Intel Xeon equivalent), 64 GB DDR5 RAM, 2 × 1 TB NVMe in RAID-1, a high-end GPU (e.g., RTX 5090), and a 27” 4K monitor. Use case: local model compilation, dataset preprocessing and interactive debugging of large experiments. Happy to provide exact SKU preferences and justification for the ROI (reduced cloud costs, improved developer throughput). Please advise next steps for procurement and whether we should open a CAPEX ticket.",purchase requisition
"can't upload my SVG's. hey Design team here, we can't upload our SVG's to the cloud service that was provided to us. We really need it to collaborate.",software issue
"Installation for Linux. Dear, during the meeting with the managers, they told me the software we would be using was also available on linux, however when I got to the site for installing it, the only available option is Windows. May I ask where I can find the software installation package for my OS if there is any. Thanks.",software issue
Login Issue. dear IT team lisa here i cant access my computer at all it just stays on the login screen typing this ticket on my phone,software issue
"Car. Can I get a company car? Best regards, Xandress",purchase requisition
Cloud Storage Subscription. We're running out of cloud storage space. Please renew our subscription and expand the capacity.,purchase requisition
"Exported PDF missing images. Hello, when exporting reports to PDF, embedded images are missing or replaced with placeholders. Text exports fine. Repro: open monthly report with screenshots → Export → download PDF → images not included. Might be related to image encoding or external CDN fetch.",software issue
Delete account. Delete the accounts of all unused users,privacy issue
CUDA for CPU use won’t work. For the AI training. We want to use the GPU. Check if all the requirements are met for using CUDA,software issue
"Search methods to expand our app with AI . We want to upgrade our application with AI. Look for the best way to do this. For example, extra computing power, infrastructure, let a external company do it, … ",purchase requisition
"Visual studio plugin issue. For some reason visual studio is not working with the new plugin we just received from the App Dev team. Can this be reported to the App Dev team we really need it to make progress on our current projects, from the AI team",software issue
Python environment is failing. My python environment is not compatible with the software you provided. Please fix this as soon as possible,software issue
Email Configuration Problem. Some employees are experiencing issues with email configuration. Investigate and resolve any software-related problems affecting email functionality.,software issue
Update issues. In our most recent update many employees have been experiencing major technical issues after our most recent update. The older computers especially have been experiencing this issue. Update their devices so they work correctly. ,software issue
Printer Malfunction . Connection to printer doesn't work even after restarting both devices ,software issue
"Customer Data Breach Incident. A customer has reported a data breach incident involving their account. Conduct a thorough investigation into the data breach, notify affected parties, and enhance data security measures.",privacy issue
User data found on dark web.. Recently some of our users data has been found for sale on the dark web. Inform our users about the compromise and look for any unusual activity on their accounts.,privacy issue
Ergonomic Chair Purchase. We're running low on ergonomic chairs for the office.  Order additional ergonomic chairs to improve employee comfort.,purchase requisition
"autocad. We will need autocad for the project that we are working on, can we please get permission to acquire a professional licence to use this software.",purchase requisition
"Update software problem. I updated the new software, but everytime i try to launch it, it crashes",software issue
Windows server & AD. Active directory is failing due to our Windows server. please let systems security team know about this problem.,software issue
"Printer Command. It would seem that Computers on the Floor F3 have ran into a software problem where the Printer software Printmax is throwing up  errors when requesting the printing of a PDF and Word document, The software either need to be updated or completelty reinstalled ",software issue
Firewall Upgrade. Our current firewall is outdated. Please recommend and quote for a more secure solution.,purchase requisition
"Lockt out. Well, I'm locked out of my account due to too many password attempts. Best regards, Xandress",software issue
