Timestamp,Title of your ticket,Write your ticket,Your ticket is about:
2023/10/10 9:59:43 pm EEST,Payment verification not sent,Several customers have contacted us regarding not recieving a payment verification email. Locate and fix the issue.,Software issue
2023/10/10 11:57:04 pm EEST,Delete account,Delete the accounts of all unused users,Privacy issue
2023/10/11 12:04:58 am EEST,Phising emails,I have received several suspicious emails that appear to be phishing attempts. Block these email domains,Privacy issue
2023/10/11 12:10:45 am EEST,Java update required,A Java update is required on all the Windows computers. Make a Java update script and run it on all the computers at once.,Software issue
2023/10/11 12:13:45 am EEST,Purchase Windows license keys,"There will be five new custom made laptops, they still need a Windows license each. Buy five new Windows license keys",Purchase requisition
2023/10/11 12:22:43 am EEST,Slack needs renewal,Our Slack system needs a renewal. Go to the dashboard billing and renew for one new extra year,Purchase requisition
2023/10/11 12:25:54 am EEST,Microsoft Office Word compatibility issues ,Microsoft Office Word seems to have compatibility issues with other software or applications some employees need to use for their daily tasks,Software issue
2023/10/11 11:34:02 am EEST,Policies for new department ,Make policies for the new department ,Privacy issue
2023/10/11 11:34:24 am EEST,What data is stored from the employees,The employees want to know what data stored from them. Find out and give a presentation.,Privacy issue
2023/10/11 11:34:37 am EEST,New software for front-end developers,The front-end developers want new software to work with. Check if the software is compatible with the current computers,Software issue
2023/10/11 11:34:49 am EEST,CUDA for CPU use won’t work,For the AI training. We want to use the GPU. Check if all the requirements are met for using CUDA,Software issue
2023/10/11 11:35:00 am EEST,Beamer is broken in meeting room 1,Check if you can repair the beamer else buy a new one.,Purchase requisition
2023/10/11 11:35:12 am EEST,Search methods to expand our app with AI ,"We want to upgrade our application with AI. Look for the best way to do this. For example, extra computing power, infrastructure, let a external company do it, … ",Purchase requisition
2023/10/11 2:04:47 pm EEST,App suddenly closes,"Hello I am getting this weird error 'NullPointerException' I am a normal salesperson and know nothing about IT. After some trial and error I have figured out if I rotate my phone the app crashes. Message appears, please help me thank you. ",Software issue
2023/10/11 2:05:39 pm EEST,Dark mode broken,"Your application is very unprofessional I can't seem to get the dark mode to work, also when I close it all my settings dissapear!! Should not be on the playstore total scam do not trust this company. Fix this.",Software issue
2023/10/11 2:09:20 pm EEST,Data Subject Rights,"I would like to opt out of your data processing program following the Article 17(1)(c) of the GDPR law. Do NOT use my personal and sensitive data to train on your models and give me personalized ads. In short, Stop using my personal data (in all valid forms as explained above). ",Privacy issue
2023/10/11 2:10:52 pm EEST,Company Event Face removal,"Hello I attended one of your international training programs and I see my face is publicly seen on facebook. I would like you to either blur it entirely so it is not recognizable anymore or that you remove the photo from the public. Please meddele with whomever is reponsible of this department, and provide feedback as soon as possible. ",Privacy issue
2023/10/11 2:12:27 pm EEST,Banner deal,We have partnered with NYC's Times Square billboards: Four of them will be broadcasting our brand for an interval of 30 seconds each four times a day. The budget and payment method for how long we keep doing this is still yet to be decided. Work on it and give me a cipher back. ,Purchase requisition
2023/10/11 2:15:09 pm EEST,Non-Disclosure Agreement,"NDA signed with a hacker who breached our systems to discuss financial gain in exchange for keeping vulnerability closed-doors, prioritizing security and ethical engagement. Make a market analysis and some research on previous cases whom had this happened to them as well and come back to me ASAP. ",Purchase requisition
2023/10/11 2:40:19 pm EEST,Customer data sync error,Customer changed their email on our website and it doesn't update correctly,Software issue
2023/10/11 2:45:13 pm EEST,[URGENT] riots on the workfloor,"Need a new coffee machine, the old one has failed the test of time",Purchase requisition
2023/10/11 2:47:28 pm EEST,"not so ""ergonomic"" chairs","After a recent poll it has come to our attention that 84% of our employees suffer from lower back pain and bad posture as a result of our seating. We need to be presented some options for new, more back-friendly chairs by the end of the day.",Purchase requisition
2023/10/11 2:51:56 pm EEST,PDF formattting issue,Adobe illustrator messes up my document's formatting when converting to a PDF,Software issue
2023/10/11 2:53:34 pm EEST,The russians did it again,"People who sign up for our services with their email have reported that their mails get flooded with fraudulent mails, leading us to believe there is some form of data breach going on.",Privacy issue
2023/10/11 3:01:18 pm EEST,Fired employee can still acccess company services,"John Doe, a recently fired employee, still has access to services that were previously required for him to do his job. Through these services he can see and alter; customer information and employee information. Please solve this post haste",Privacy issue
2023/10/12 11:59:32 pm EEST,Employee Data Privacy Concern,An employee has raised concerns about the privacy of their personal data. Please initiate a review of our privacy policies and address any issues or gaps identified.,Privacy issue
2023/10/13 12:00:03 am EEST,Access Permission Audit,Conduct a review of user access permissions to ensure compliance with data privacy regulations. Identify and rectify any unauthorized access to sensitive data.,Privacy issue
2023/10/13 12:00:28 am EEST,Laptop Procurement,We need to purchase ten new laptops for the finance department. Please provide quotes and specifications for laptops that meet our department's requirements.,Purchase requisition
2023/10/13 12:01:06 am EEST,Office Software Licenses,Request to purchase additional licenses for the Microsoft Office suite to accommodate new hires. Provide cost estimates and procurement details.,Purchase requisition
2023/10/13 12:02:00 am EEST,Email Configuration Problem,Some employees are experiencing issues with email configuration. Investigate and resolve any software-related problems affecting email functionality.,Software issue
2023/10/13 12:03:22 am EEST,Fonza VOIP System Error,Some users experiencing version incompatibility with our VOIP application Forza. Please fix the issues for the users and make sure that they can use the app.,Software issue
2023/10/13 12:06:26 am EEST,New Users,"Our company welcoming some new members next month to various teams. So they need laptops to be able to start working. Since they are joining different departments, their needs for laptops varies, check the list and contact vendors for costs enquiries.",Purchase requisition
2023/10/13 12:43:31 am EEST,Local Language Selection,We need to be able to select the language within this app instead of it only being able to use our device language.,Software issue
2023/10/13 12:45:58 am EEST,Slow database query,Some standard database queries take longer than an hour to complete. get this query time down to less than a minute.,Software issue
2023/10/13 12:48:44 am EEST,Extra cables for redundancy,"For redundancy, we need to buy an extra ethernet cable per dedicated server.",Purchase requisition
2023/10/13 12:52:43 am EEST,Server room Air Conditioning,The Server room is getting too hot. We need to buy an extra air conditioning unit.,Purchase requisition
2023/10/13 12:54:49 am EEST,Employee-Client E-mail confidentiality,"When writing mass E-mails to clients, add all clients to BCC so that clients don't see each other's data.",Privacy issue
2023/10/13 12:57:03 am EEST,Update Privacy Policy,Our Privacy Policy mentions some methods we have changed recently. Update the Privacy Policy to match the changes.,Privacy issue
2024/10/10 3:33:04 pm EEST,Password Leak,"My password has been leaked, as i've noticed unusal activity and unauthorized login attempts. I've changed my password and enabled two-factor authentication. Please investigate and help ensure my account's security.",Privacy issue
2024/10/10 3:34:32 pm EEST,leaked information,I believe that my personal information has been leaked. can i get someone to check this for me?,Privacy issue
2024/10/10 3:35:51 pm EEST,code issue,"My code does not want to compile no matter what i try, can i get a senior to help me?",Software issue
2024/10/10 3:39:50 pm EEST,autocad,"We will need autocad for the project that we are working on, can we please get permission to acquire a professional licence to use this software.",Purchase requisition
2024/10/10 3:40:33 pm EEST,Software Update Needed,"I need to request a purchase for the latest version of Spyder. My current version is outdated, and I am unable to log in until it is updated. Please let me know the next steps to proceed with this request.",Purchase requisition
2024/10/10 3:44:04 pm EEST,Software Crash,"I am experiencing an issue with our project management software, which frequently crashes when I try to open it.I have already tried restarting my computer and reinstalling the software, but the issue persists. Could you please look into this and provide a solution?",Software issue
2024/10/10 5:37:50 pm EEST,PC Blue Screened,"Dear Mr. / Mrs. When starting my pc it crached and now stuck with a bluescreen. Thank you in advance for your help!  Best regards, Terry Backerman",Software issue
2024/10/10 5:48:48 pm EEST,Request for Purchase of New Laptop for Finance Team,"I would like to request approval for the purchase of a new laptop to replace outdated equipment currently in use by the Finance Team. This is necessary to ensure seamless work on upcoming financial audits and reporting. With kind regards, Jimmy Lenards",Purchase requisition
2024/10/10 5:54:56 pm EEST,Potential Unauthorized Access to Confidential Files,"I have reason to believe that sensitive company data may have been accessed by an unauthorized individual within the organization. I noticed irregular activity in shared folders containing confidential files that should only be accessible by the Finance and HR teams. With kind regards, Jane Doe",Privacy issue
2024/10/10 6:19:19 pm EEST,Request for Cloud Storage Subscription to Facilitate AI Model Training,"Dear IT Team,  I would like to request the purchase of a cloud storage subscription to support our AI model development and data processing needs. As we are working with large datasets for training and testing machine learning algorithms, our current storage capacity is insufficient for efficient project handling. Additionally, cloud storage will enhance our ability to back up trained models and experiment results, ensuring the data is safe and recoverable if needed.  Please advise on the available options and how to proceed with the requisition.  Kind regards, Nelli Sahiian",Purchase requisition
2024/10/10 6:26:34 pm EEST,License Expiration Error,"Dear IT Team,  I am receiving a license expiration error in Adobe Photoshop, which is affecting my ability to use the software. The error message states that the license expired on October 5, 2024, but to my knowledge, the license was supposed to be valid until December 31, 2024.  Could you please verify the status of the license and assist in renewing or resolving this issue so I can continue working without interruptions?  Kind regards, Nelli Sahiian",Software issue
2024/10/10 7:36:56 pm EEST,Password reset,"Following the company's policy, our password resets every 3 months. I haven't logged in in a while and forgot the old one. I can't log in the request a new one. May i please get help?",Privacy issue
2024/10/10 9:58:49 pm EEST,Request for New Laptops,"Due to the increase in ""Work from home"" the development team requests company issued Laptop ,About 10 to be exact, to work from home.",Purchase requisition
2024/10/10 10:00:22 pm EEST,Unauthorized Access to Data,It appears that certain employees still have access to customer information which they shoouldn't have access to. Please update new employee security access to prevent this and other similiar issues,Privacy issue
2024/10/10 10:01:49 pm EEST,Printer Command,"It would seem that Computers on the Floor F3 have ran into a software problem where the Printer software Printmax is throwing up  errors when requesting the printing of a PDF and Word document, The software either need to be updated or completelty reinstalled ",Software issue
2024/10/11 12:49:28 am EEST,Microsoft OneDrive Sync Failure with Cloud Storage,"Dear IT Team,  I am experiencing an issue with Microsoft OneDrive, which is failing to sync with our cloud storage service. This issue started yesterday, and it prevents me from accessing or uploading important files. Could you please investigate and advise on how to resolve this issue?  Kind regards, Nelli",Software issue
2024/10/11 12:54:46 am EEST,Unable to Access Corporate VPN,"Dear IT Team,  I am currently unable to access the corporate VPN, which is preventing me from connecting to our internal network and accessing essential resources. Could you please investigate this issue and provide guidance on how to resolve it?  Kind regards, Nelli",Software issue
2024/10/11 11:22:40 am EEST,Update software problem,"I updated the new software, but everytime i try to launch it, it crashes",Software issue
2024/10/11 11:25:42 am EEST,Slow software,After the new update i noticed the software being sllower than usual. Is it because our laptops are not compatible anymore or are there issues with the new update?,Software issue
2024/10/11 11:44:18 am EEST,The printer doesnt work anymore. ,"When I try to print from my computer, i get the message, that the printing process failed. ",Software issue
2024/10/11 11:45:07 am EEST,PyCharm License,My PyCharm license expired and i cannot access all the features that i need for development. ,Software issue
2024/10/11 11:45:56 am EEST,Customer Emails leaked,I found out that our customer emails from our database are leaked on the internet. ,Privacy issue
2024/10/11 11:46:52 am EEST,Headset broken,My headset broke down whiile talking to a customer. The microphone doesnt recognize my voice anymore. ,Purchase requisition
2024/10/11 1:04:37 pm EEST,"In RGB mode stuck, lightsaber has become","Hmm... a problem, there is. After installing the latest security update, broken my lightsaber has become. No longer stable, its blade is. RGB mode, it now displays—red, blue, green—flashing endlessly, it is. Balance, there is not. A disco, it seems to have become. Use in battle, impossible it now is.  A Jedi's tool, a toy it should not be. Fix it, you must.",Software issue
2024/10/11 1:10:54 pm EEST,Identity theft is not a joke,Somehow my account credentials have been leaking leading to someone getting hold of my personal information. My banking agency has already called me about someone ordering a small car load of balloons. After that someone tried to take a loan to set up a circus tent in the park. I've already blocked all accounts related to money but as it is I'm still looking like a clown due to all these things happening. More so with this makeup and rainbow wig I'm wearing right now.,Privacy issue
2024/10/11 1:24:01 pm EEST,Stop sending me advertisements,"I've received 20 emails from your company just today already. I don't know how you found my mail address but please stop it. When i woke up in the morning there was even a billboard add of you guys in my front yard. Please stop it. I don't know what i have done to wrong you but please make it stop. How did you even find out where i live as I've never made an account for your service. I'm scared for my life now, last thing i want is to find an advertisement next to my bed when i wake up. And that already happened yesterday so please stop. I'll buy your girl scout cookies but just make it stop please.",Privacy issue
2024/10/11 2:25:30 pm EEST,Printer Malfunction ,Connection to printer doesn't work even after restarting both devices ,Software issue
2024/10/11 2:26:57 pm EEST,Software Installation Request ,To finish Project y we need to Software f on company devices,Software issue
2024/10/11 2:28:20 pm EEST,Re-installing Office ,Office has been deleted from all devices from devices of the accounting department ,Software issue
2024/10/11 2:29:59 pm EEST,Suspected Data breach,There has been unusual activity from my business email account which should get investigated due to privacy concerns ,Privacy issue
2024/10/11 2:31:30 pm EEST,Software update blocking production ,Request to downgrade software due to unusual crashes since yesterdays update ,Software issue
2024/10/11 2:31:43 pm EEST,My PC is running slow,"My PC has been running slow for the past week, especially when using multiple applications at the same time.",Software issue
2024/10/11 2:32:39 pm EEST,My Work Email Isn’t Syncing on My Phone,My work email isn’t syncing properly on my mobile phone. I can’t receive or send emails when I’m not in the office. Can someone help fix this?,Software issue
2024/10/11 2:33:36 pm EEST,I’m Concerned About a Privacy Breach,"I’ve noticed some unusual activity on my account, and I’m concerned that my personal data might have been compromised. Can someone look into this and ensure my data is secure?",Privacy issue
2024/10/11 2:34:06 pm EEST,Cannot access mail.,"I have been having trouble with accessing my mail, when I try to login it keeps giving an error.",Software issue
2024/10/11 2:34:37 pm EEST,ads ,"there are some random ads popping up on my screen, could you please help me with that issue?",Software issue
2025/10/07 1:11:47 pm EEST,Python environment is failing,My python environment is not compatible with the software you provided. Please fix this as soon as possible,Software issue
2025/10/07 1:13:47 pm EEST,Password leaked,"I believe my email account has been hacked can this be fixed as soon as possible , thank you.",Privacy issue
2025/10/07 1:16:13 pm EEST,Buying new company T-shirts,"I wish to buy the new available T-shirt from our company as soon as possible , Thx.",Purchase requisition
2025/10/07 1:21:24 pm EEST,Visual studio plugin issue,"For some reason visual studio is not working with the new plugin we just received from the App Dev team. Can this be reported to the App Dev team we really need it to make progress on our current projects, from the AI team",Software issue
2025/10/07 1:23:01 pm EEST,New Gantt chart software,"I believe that the software we bought last year is outdated and doesn't fit our needs. I hereby  wish to request the new Gantt chart software ""EC_Gantt"".  ",Purchase requisition
2025/10/07 1:26:19 pm EEST,Weird security logs on the main server,I've noticed weird transactions on the main server lately and want to raise concern about this. These transaction seem to be transferring a lot of data around. Can we address this issue as soon as possible ?,Privacy issue
2025/10/07 1:28:19 pm EEST,Windows server & AD,Active directory is failing due to our Windows server. please let systems security team know about this problem.,Software issue
2025/10/07 1:31:52 pm EEST,The toilets are not very secure,I've been at the company for at least 2 years now and the toilets still have major issues regarding employees safety and security. What if someone decides to do us (employees) any harm ? There are NO camera's that would notice that. Totally outragous !,Privacy issue
2025/10/07 1:35:00 pm EEST,Buying request for new posters main office,"Hey it's EC, from the marketing team here. I wish to put in a request for the new posters that will be put up in the main hall of the main office in Brussels. They should be ordered by friday and arrive on monday.  Many Thx,  ",Purchase requisition
2025/10/07 1:38:29 pm EEST,HR issues - 57585,"we noticed that employee's salary can be viewed and displayed by any other employee, without any security check.",Privacy issue
2025/10/07 1:41:22 pm EEST,Internet not working,"Hey it's EC from floor 25, idk but my internet isn't working on my PC. Can you guys fix this as soon as possible. I can't make any progress !",Software issue
2025/10/07 1:42:56 pm EEST,Anti-virus alerst,My Anti-virus keeps saying that i have 1200 virusses. Have I been hacked ? ,Privacy issue
2025/10/07 1:45:47 pm EEST,new hardware - 12 Jetank and Jetracers,"Hey , I need to buy 12 new Jetank's and Jetracers (€700 each) for the AI team can i make this purchase ?",Purchase requisition
2025/10/07 1:47:37 pm EEST,new poster order for open campus,It's the Marketing team again can we add 20 new poster orders to our previous order we require these for the open campus day at the ERM. Thx  ,Purchase requisition
2025/10/07 1:49:07 pm EEST,strange person at reception ,Hey i wish to report that we have a strange person in a hoodie walking around on the front parking at the main entrance. Can the security team be noticed,Privacy issue
2025/10/07 1:51:51 pm EEST,To many places in the building with cameras,I feel like we're constantly being watched with all these camera's around in the building i want to file this issue as debate subject in the next meeting,Privacy issue
2025/10/07 1:55:32 pm EEST,can't upload my SVG's,"hey Design team here, we can't upload our SVG's to the cloud service that was provided to us. We really need it to collaborate.",Software issue
2025/10/07 1:56:37 pm EEST,strange USB sticks,I've noticed some USB sticks laying around on floor 12. Should i plug them in to see what they contain ?,Privacy issue
2025/10/07 1:57:52 pm EEST,New monitors,employees on floor 8 really require new desktop monitors,Purchase requisition
2025/10/07 3:12:15 pm EEST,Problem regarding software activation,"Dear, I write this ticket to inform that after install your software on my desktop pc, when I try to login using the credentials you gave me via email, an error is shown saying that they are not valid; however I am sure since I copy-pasted those credentials. I hope you can help me resolve this problem. Best Regards, Lorenzo Ferrari.",Software issue
2025/10/07 4:22:25 pm EEST,Software crash when opening the project management tool.,"Every time I try to launch the project management software, it crashes unexpectedly. Please investigate and provide a solution.",Software issue
2025/10/07 4:22:44 pm EEST,Unable to log into the company email system after recent update.,"After the recent system update, I can no longer log into my company email. I’ve tried resetting my password, but it still doesn’t work.",Software issue
2025/10/07 4:23:03 pm EEST,Glitch in the accounting software causing incorrect expense reports.,"The accounting software is showing incorrect figures in my department's expense reports, which makes budgeting difficult. Please look into it and fix the issue.",Software issue
2025/10/07 4:23:22 pm EEST,Missing files after the latest software update,"After the most recent software update, several important files seem to be missing from my shared drive. Requesting a recovery of the missing documents.",Software issue
2025/10/07 4:23:42 pm EEST,Network lag in the team collaboration tool.,"Experiencing significant lag when using the team collaboration software. The system often freezes during meetings, making it hard to communicate. Please investigate the cause of this issue.",Software issue
2025/10/07 4:24:05 pm EEST,Request to purchase additional office supplies for the marketing department.,"Our team is running low on basic office supplies, including pens, paper, and printer cartridges. Please approve the purchase of these items as soon as possible.",Purchase requisition
2025/10/07 4:24:29 pm EEST,Approval request for new software license for the design team.,The design team needs a new Adobe Creative Cloud license to complete our ongoing project. Requesting approval for the purchase.,Purchase requisition
2025/10/07 4:26:18 pm EEST,Privacy glass on the windows,It would be really nice to have privacy glasses on the windows of our corporate building. Working in front of the street with glass wall makes me feel uncomfortable.,Privacy issue
2025/10/07 4:27:10 pm EEST,The toilet door is transparent.,I don't know why. But who decided that it would be a good idea to have a transparent toilet door.,Privacy issue
2025/10/07 4:30:24 pm EEST,Use of my face on company's website.,I know that I am handsome but please I have not given my permission for my face to be displayed on the company's public platform. Please take it down asap and I would like to file for renumeration of 28568 dollars and 50 cents for misuse of my image. Thank you.,Privacy issue
2025/10/08 5:25:23 pm EEST,It does not work,"I am trying to login to the software but I cannot, it says invalid credentials. Please fix it asap since i have to submit important documents today!",Software issue
2025/10/08 5:27:06 pm EEST,Too many cameras,I've seen an increase in the number of cameras you have put inside the office. I think this is a violation of our rights and it does not help with the environment.,Privacy issue
2025/10/08 5:29:49 pm EEST,Question about new model of tracking,"Dear IT department, today when i opened my laptop, I find a new software was installed and after looking up a bit, I discover that this is a tracking system that is used to check what we do during our work hours. We did not receive any email regarding that and we would like to have a meeting to discuss these actions.",Privacy issue
2025/10/08 5:31:31 pm EEST,Installation for Linux,"Dear, during the meeting with the managers, they told me the software we would be using was also available on linux, however when I got to the site for installing it, the only available option is Windows. May I ask where I can find the software installation package for my OS if there is any. Thanks.",Software issue
2025/10/08 5:32:36 pm EEST,Installation for MacOS,"Hey there, I was trying to install the software using my laptopt M1, but I can't find the section about apple. Can you give me the link/download or help me installing it.",Software issue
2025/10/08 5:34:36 pm EEST,Broken pc,"Hey, last Thursday my pc fell to the floor and I wanted to know the procedure to require a new one. Sorry for the inconvenience and thanks in advance.",Purchase requisition
2025/10/08 5:36:25 pm EEST,Custom keyboard inquire,"Dear Team, Lorenzo's here, when I go to the office and I try to do my job, I always take more time than needed since I don't have my keyboard with me. Can I ask for a keyboard only for office hours?",Purchase requisition
2025/10/08 5:38:18 pm EEST,Problem with the new face detection,"Dear IT Department. I've heard from colleague that you have started using cameras for face detection, however we don't remember signing any contract about that. Also why would you need one? WE are looking for more explanations about this topic. Best Regards, Lorenzo Ferrari.",Privacy issue
2025/10/08 5:39:51 pm EEST,Software crashes during login,"Hey there. When I open the software to do my job, it has been crashing once I put my credentials. It says something like ""unable to connect to database"", what does that mean? Can you fix it please?.",Software issue
2025/10/09 10:48:10 am EEST,Training dataset contains unsanitized personal contact details,"While performing a routine audit of customer_feedback_training_v4.csv I discovered multiple rows that still contain personally identifying information: full names, personal email addresses and several phone numbers in the contact_info column. The file was supposedly anonymized before ingestion into our feature store, but these rows appear to be original raw records that slipped through. I sampled 250 rows and found ~12 rows with obvious PII. This is a potential compliance risk if that dataset was used for any offline model training or shared across teams. Could someone (a) confirm whether a sanitized copy exists, (b) temporarily remove the public share link, and (c) advise whether we should trigger a re-training notification for models that used this dataset between Aug 10–Sep 02?",Privacy issue
2025/10/09 10:50:10 am EEST,Model deployment pipeline fails at Docker build,"The continuous deployment job deploy-llm-service failed repeatedly during the Docker build step on Jenkins agent build-12. The failure message indicates ModuleNotFoundError: No module named 'torch' when python -c ""import torch"" is executed inside the image. The Dockerfile uses python:3.10-slim as base and installs requirements from requirements.txt. My suspicion: the base image lacks the correct wheel infrastructure or we are pinning incompatible CUDA/PyTorch versions. The build log snippet:",Software issue
2025/10/09 11:47:05 am EEST,"Edge AI kit: 2× Raspberry Pi 5, 2× Coral USB accelerators and accessories","Our edge-prototyping subgroup requests the following items to build an on-device speech recognition prototype: 	2 × Raspberry Pi 5 (8 GB variant) 	2 × Coral USB Edge TPUs (for accelerating TFLite models) 	2 × 128 GB high-endurance microSD cards 	Passive heatsinks and small-case enclosures with ventilation 	Reason: we need to benchmark offline keyword spotting latency and power consumption for the field device. Please include recommended suppliers and lead times; if discounts exist for academic or volume purchases, those would be appreciated.",Purchase requisition
2025/10/09 11:47:18 am EEST,New high-performance dev workstation to run local experiments,"My current development laptop cannot handle practical on-device training or local model builds. Request approval to procure a new developer workstation configured with: AMD Ryzen Threadripper (or Intel Xeon equivalent), 64 GB DDR5 RAM, 2 × 1 TB NVMe in RAID-1, a high-end GPU (e.g., RTX 5090), and a 27” 4K monitor. Use case: local model compilation, dataset preprocessing and interactive debugging of large experiments. Happy to provide exact SKU preferences and justification for the ROI (reduced cloud costs, improved developer throughput). Please advise next steps for procurement and whether we should open a CAPEX ticket.",Purchase requisition
2025/10/09 11:47:32 am EEST,Mobile app crashes when opening camera,"Hi Mobile Team, opening the camera inside the app causes an immediate crash on Android 12 devices. Error occurs when tapping “Scan Document.” Repro: open app → tap Scan → app closes. Logs show a camera permission exception on some devices though permissions are granted. Need a fix or safer permission check.",Software issue
2025/10/09 11:47:46 am EEST,Exported PDF missing images,"Hello, when exporting reports to PDF, embedded images are missing or replaced with placeholders. Text exports fine. Repro: open monthly report with screenshots → Export → download PDF → images not included. Might be related to image encoding or external CDN fetch.",Software issue
2025/10/09 11:47:56 am EEST,Incorrect error message shown on permission denied,"Hi Support, when a user without access tries to view a resource, the app shows “Resource not found” instead of “Permission denied.” This misleads users. Please return 403 with a clear message so users understand it’s a permissions issue.",Software issue
2025/10/09 11:48:10 am EEST,Button disabled with no explanation,The “Submit Request” button remains disabled on the form even when all required fields are filled. No validation messages appear. Users assume bug. Repro: fill form completely and button is gray. Need client-side validation messages or enable the button.,Software issue
2025/10/09 11:48:27 am EEST,Voice assistant behavior unclear,"Some users mentioned that their voice commands on the mobile assistant sometimes appear to be stored, although they thought they had turned off the “Record history” option. It’s unclear whether this happens consistently or only for certain features like reminders or search queries. Also, the app shows notifications about recent activity which might confuse users, and logs may or may not include the exact phrases spoken. We should investigate whether the data is actually saved anywhere and review how the documentation explains this behavior, because some users reported mixed experiences with both Android and iOS devices.",Privacy issue
2025/10/10 2:46:01 pm EEST,ticketing system,how do i submit a ticket to the it team?,Software issue
2025/10/10 4:24:32 pm EEST,password,"well hello dear IT team it has come to my attention that i forgot my password again can you please fix this and give me a new password also can you lift the password restrictions i like my new password to be ""root"" that seems easy to remember",Software issue
2025/10/10 4:25:04 pm EEST,Sticky Keyboard,IT team can you come and replace my keyboard i have spilled soda on it and now it is very sticky my fingers are sticking to the keyboard just typing this message,Purchase requisition
2025/10/10 4:27:03 pm EEST,Beamer Issue,hello bob its me again tomy can you come to the conference room and check out the beamer it stopped working again i dont know how all i know is that it was repasted 3 times already this month and that every time i want to give my presentation it breaks thanks,Software issue
2025/10/10 5:27:54 pm EEST,Data Breach,dear it team i got a mail from sara of hr team she said she was sick and working from home and asked me to put all the names emails and telephone numbers and other info of all our customers in a text file and then send that file to her via email so i did that small problem turns out there is no sara in the hr team so i dont know who it is that sent the email well sorry about that just wanted to give a heads up about the data breach ps please dont tell my boss about this thanks,Privacy issue
2025/10/10 5:28:27 pm EEST,Company Card for Lunch,can i use the company card for my lunch?,Purchase requisition
2025/10/10 5:30:40 pm EEST,Im working,well im bored so im making a ticket so i look busy.,Privacy issue
2025/10/10 5:32:02 pm EEST,Request for New Laptop,dear it team is possible for me to get a new laptop my Os e 1 from 1981 is getting a bit slow thanks,Purchase requisition
2025/10/10 5:41:24 pm EEST,Usb parking lot ,well i found a usb stick in the parking lot and plugged it in my pc now i cant log in on my pc typing this ticket on my phone ps nobody can log in you will probably get a lot more tickets about this,Privacy issue
2025/10/10 5:49:17 pm EEST,Login Issue Anna,hello IT team anna here i cant log in on my pc it just keeps asking for my password typing this ticket on my phone,Software issue
2025/10/10 5:50:38 pm EEST,Login Issue Mark,hi IT team mark cant log in on my pc none of my passwords are working i tried restarting but still nothing,Software issue
2025/10/10 5:52:35 pm EEST,Login Issue,dear IT team lisa here i cant access my computer at all it just stays on the login screen typing this ticket on my phone,Software issue
2025/10/10 5:59:41 pm EEST,Database Security Issue,hey susie here i was working on the database and i just found out all our login data usernames and passwords are saved in plain text i can see everybody's login and password this seems like a huge security risk,Privacy issue
